Year,Month,Data,mm,SLR
1921,12,18,2426,-168
1921,12,19,2258,21
1921,12,20,2279,83
1921,12,21,2362,-113
1921,12,22,2249,139
1921,12,23,2388,87
1921,12,24,2475,55
1921,12,25,2530,-59
1921,12,26,2471,-75
1921,12,27,2396,-24
1921,12,28,2372,32
1921,12,29,2404,85
1921,12,30,2489,137
1921,12,31,2626,-55
1922,1,1,2571,-135
1922,1,2,2436,-51
1922,1,3,2385,80
1922,1,4,2465,-15
1922,1,5,2450,-170
1922,1,6,2280,-82
1922,1,7,2198,51
1922,1,8,2249,126
1922,1,9,2375,118
1922,1,10,2493,253
1922,1,11,2746,-94
1922,1,12,2652,-334
1922,1,13,2318,-25
1922,1,14,2293,-66
1922,1,15,2227,-73
1922,1,16,2154,112
1922,1,17,2266,172
1922,1,18,2438,111
1922,1,19,2549,-232
1922,1,20,2317,-10
1922,1,21,2307,-79
1922,1,22,2228,-327
1922,1,23,1901,215
1922,1,24,2116,74
1922,1,25,2190,55
1922,1,26,2245,119
1922,1,27,2364,186
1922,1,28,2550,216
1922,1,29,2766,-150
1922,1,30,2616,-163
1922,1,31,2453,-11
1922,2,1,2442,120
1922,2,2,2562,-30
1922,2,3,2532,-137
1922,2,4,2395,89
1922,2,5,2484,31
1922,2,6,2515,-9
1922,2,7,2506,39
1922,2,8,2545,-136
1922,2,9,2409,-1
1922,2,10,2408,71
1922,2,11,2479,-14
1922,2,12,2465,-113
1922,2,13,2352,-170
1922,2,14,2182,187
1922,2,15,2369,106
1922,2,16,2475,-69
1922,2,17,2406,-75
1922,2,18,2331,-70
1922,2,19,2261,18
1922,2,20,2279,-81
1922,2,21,2198,63
1922,2,22,2261,203
1922,2,23,2464,-85
1922,2,24,2379,-55
1922,2,25,2324,-35
1922,2,26,2289,115
1922,2,27,2404,-39
1922,2,28,2365,-151
1922,3,1,2214,160
1922,3,2,2374,22
1922,3,3,2396,-61
1922,3,4,2335,156
1922,3,5,2491,-2
1922,3,6,2489,49
1922,3,7,2538,-87
1922,3,8,2451,-127
1922,3,9,2324,91
1922,3,10,2415,184
1922,3,11,2599,-23
1922,3,12,2576,-156
1922,3,13,2420,20
1922,3,14,2440,83
1922,3,15,2523,33
1922,3,16,2556,-91
1922,3,17,2465,-37
1922,3,18,2428,9
1922,3,19,2437,162
1922,3,20,2599,18
1922,3,21,2617,-147
1922,3,22,2470,-40
1922,3,23,2430,-51
1922,3,24,2379,-53
1922,3,25,2326,5
1922,3,26,2331,-11
1922,3,27,2320,92
1922,3,28,2412,25
1922,3,29,2437,-137
1922,3,30,2300,112
1922,3,31,2412,369
1922,4,1,2781,-28
1922,4,2,2753,-218
1922,4,3,2535,-70
1922,4,4,2465,-17
1922,4,5,2448,-11
1922,4,6,2437,-14
1922,4,7,2423,38
1922,4,8,2461,17
1922,4,9,2478,56
1922,4,10,2534,113
1922,4,11,2647,50
1922,4,12,2697,-144
1922,4,13,2553,-65
1922,4,14,2488,54
1922,4,15,2542,-57
1922,4,16,2485,-67
1922,4,17,2418,-80
1922,4,18,2338,-41
1922,4,19,2297,96
1922,4,20,2393,-148
1922,4,21,2245,37
1922,4,22,2282,98
1922,4,23,2380,6
1922,4,24,2386,113
1922,4,25,2499,52
1922,4,26,2551,-68
1922,4,27,2483,-87
1922,4,28,2396,-49
1922,4,29,2347,8
1922,4,30,2355,-39
1922,5,1,2316,-20
1922,5,2,2296,100
1922,5,3,2396,114
1922,5,4,2510,63
1922,5,5,2573,-4
1922,5,6,2569,-41
1922,5,7,2528,-50
1922,5,8,2478,-67
1922,5,9,2411,26
1922,5,10,2437,107
1922,5,11,2544,16
1922,5,12,2560,-19
1922,5,13,2541,-54
1922,5,14,2487,25
1922,5,15,2512,4
1922,5,16,2516,-87
1922,5,17,2429,90
1922,5,18,2519,73
1922,5,19,2592,-93
1922,5,20,2499,-55
1922,5,21,2444,-23
1922,5,22,2421,8
1922,5,23,2429,-26
1922,5,24,2403,-19
1922,5,25,2384,74
1922,5,26,2458,38
1922,5,27,2496,-107
1922,5,28,2389,9
1922,5,29,2398,67
1922,5,30,2465,-12
1922,5,31,2453,-41
1922,6,1,2412,25
1922,6,2,2437,53
1922,6,3,2490,-8
1922,6,4,2482,-62
1922,6,5,2420,22
1922,6,6,2442,8
1922,6,7,2450,43
1922,6,8,2493,56
1922,6,9,2549,36
1922,6,10,2585,9
1922,6,11,2594,-24
1922,6,12,2570,-40
1922,6,13,2530,-26
1922,6,14,2504,-21
1922,6,15,2483,-28
1922,6,16,2455,34
1922,6,17,2489,63
1922,6,18,2552,-23
1922,6,19,2529,-40
1922,6,20,2489,67
1922,6,21,2556,78
1922,6,22,2634,-78
1922,6,23,2556,-96
1922,6,24,2460,-18
1922,6,25,2442,-30
1922,6,26,2412,42
1922,6,27,2454,40
1922,6,28,2494,13
1922,6,29,2507,-16
1922,6,30,2491,-9
1922,7,1,2482,32
1922,7,2,2514,25
1922,7,3,2539,-36
1922,7,4,2503,-36
1922,7,5,2467,48
1922,7,6,2515,-33
1922,7,7,2482,23
1922,7,8,2505,1
1922,7,9,2506,-12
1922,7,10,2494,-7
1922,7,11,2487,-10
1922,7,12,2477,22
1922,7,13,2499,-1
1922,7,14,2498,15
1922,7,15,2513,0
1922,7,16,2513,-9
1922,7,17,2504,36
1922,7,18,2540,27
1922,7,19,2567,-22
1922,7,20,2545,-21
1922,7,21,2524,-18
1922,7,22,2506,22
1922,7,23,2528,35
1922,7,24,2563,-29
1922,7,25,2534,-70
1922,7,26,2464,-17
1922,7,27,2447,29
1922,7,28,2476,30
1922,7,29,2506,-47
1922,7,30,2459,-5
1922,7,31,2454,37
1922,8,1,2491,31
1922,8,2,2522,37
1922,8,3,2559,29
1922,8,4,2588,-21
1922,8,5,2567,-50
1922,8,6,2517,25
1922,8,7,2542,18
1922,8,8,2560,-39
1922,8,9,2521,-43
1922,8,10,2478,-20
1922,8,11,2458,-23
1922,8,12,2435,-38
1922,8,13,2397,5
1922,8,14,2402,53
1922,8,15,2455,-4
1922,8,16,2451,86
1922,8,17,2537,46
1922,8,18,2583,-51
1922,8,19,2532,27
1922,8,20,2559,-2
1922,8,21,2557,-46
1922,8,22,2511,-74
1922,8,23,2437,-5
1922,8,24,2432,78
1922,8,25,2510,16
1922,8,26,2526,-24
1922,8,27,2502,0
1922,8,28,2502,-29
1922,8,29,2473,3
1922,8,30,2476,28
1922,8,31,2504,4
1922,9,1,2508,-14
1922,9,2,2494,-25
1922,9,3,2469,16
1922,9,4,2485,57
1922,9,5,2542,19
1922,9,6,2561,-28
1922,9,7,2533,-65
1922,9,8,2468,-54
1922,9,9,2414,2
1922,9,10,2416,74
1922,9,11,2490,53
1922,9,12,2543,-25
1922,9,13,2518,-27
1922,9,14,2491,2
1922,9,15,2493,4
1922,9,16,2497,-8
1922,9,17,2489,-15
1922,9,18,2474,-32
1922,9,19,2442,7
1922,9,20,2449,84
1922,9,21,2533,55
1922,9,22,2588,-36
1922,9,23,2552,54
1922,9,24,2606,-72
1922,9,25,2534,-115
1922,9,26,2419,-43
1922,9,27,2376,107
1922,9,28,2483,-22
1922,9,29,2461,13
1922,9,30,2474,25
1922,10,1,2499,-29
1922,10,2,2470,23
1922,10,3,2493,20
1922,10,4,2513,12
1922,10,5,2525,78
1922,10,6,2603,34
1922,10,7,2637,11
1922,10,8,2648,-71
1922,10,9,2577,-15
1922,10,10,2562,29
1922,10,11,2591,-35
